epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.73,1.06677,5.10479,0.01182,0.0078,1,0.51469,0.28369,0.84125,8.46208,0.01233,0.00040625,0.00040625,0.00040625
2,345.044,1.07422,3.87855,0.01216,0.87011,0.32071,0.73386,0.52855,0.84346,7.26229,0.01233,0.000806623,0.000806623,0.000806623
3,525.969,1.14203,3.22246,0.01308,0.81326,0.69953,0.86962,0.61539,1.05357,5.42171,0.01459,0.0011905,0.0011905,0.0011905
4,708.226,1.13237,2.65427,0.01283,0.81334,0.87514,0.9241,0.68203,0.96292,4.07708,0.01354,0.00117575,0.00117575,0.00117575
5,896.591,1.08936,2.26253,0.01265,0.84246,0.92476,0.95547,0.6918,1.0321,3.20333,0.01469,0.001151,0.001151,0.001151
6,1071.4,1.0636,1.90813,0.01175,0.90803,0.94537,0.98227,0.72452,1.00204,2.67943,0.01406,0.00112625,0.00112625,0.00112625
7,1238.65,1.11513,1.6867,0.01277,0.85552,0.93383,0.96454,0.71052,0.99109,2.09645,0.01408,0.0011015,0.0011015,0.0011015
8,1402.57,1.07511,1.42393,0.0124,0.93515,0.92993,0.98051,0.67287,1.15016,1.88442,0.01863,0.00107675,0.00107675,0.00107675
9,1565.83,1.0585,1.27831,0.0117,0.90099,0.92411,0.96622,0.69225,1.0507,1.56931,0.0143,0.001052,0.001052,0.001052
10,1734.28,1.05398,1.14913,0.01203,0.92806,0.94192,0.983,0.72959,0.98225,1.22945,0.01457,0.00102725,0.00102725,0.00102725
11,1908.59,1.03697,1.02857,0.01151,0.92326,0.96335,0.98642,0.70222,1.07202,1.1973,0.01451,0.0010025,0.0010025,0.0010025
12,2069.23,1.00737,0.96021,0.01126,0.97332,0.99,0.99391,0.67545,1.15179,0.98916,0.01655,0.00097775,0.00097775,0.00097775
13,2231.23,1.00306,0.92487,0.01132,0.93394,0.97888,0.99194,0.70879,1.08212,0.91563,0.01541,0.000953,0.000953,0.000953
14,2393.83,0.98476,0.82806,0.01078,0.96597,0.97601,0.98922,0.71267,1.04215,0.78155,0.01449,0.00092825,0.00092825,0.00092825
