epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,7384.94,1.01564,0.55646,0.01079,0.97799,0.97446,0.99158,0.72191,1.06962,0.34696,0.01363,0.000621029,0.000621029,0.000621029
18,7822.13,1.02922,0.5525,0.01067,0.96398,0.95048,0.98833,0.71371,1.08737,0.3937,0.0138,0.000603031,0.000603031,0.000603031
19,8256.43,1.03087,0.51808,0.0107,0.98797,0.9831,0.99259,0.7277,1.04272,0.32688,0.01324,0.000585032,0.000585032,0.000585032
20,8698.99,0.99572,0.50854,0.01017,0.98497,0.97221,0.99243,0.73446,1.03751,0.33753,0.01332,0.000567034,0.000567034,0.000567034
21,9131.93,1.00549,0.48958,0.01045,0.97786,0.97727,0.99149,0.7043,1.0946,0.33023,0.01361,0.000549036,0.000549036,0.000549036
22,9567.31,0.98498,0.49463,0.01026,0.98076,0.98837,0.9926,0.71707,1.08086,0.31639,0.01356,0.000531038,0.000531038,0.000531038
23,9999.78,0.97254,0.48701,0.00991,0.95136,0.98122,0.98956,0.74276,0.99958,0.30836,0.01291,0.00051304,0.00051304,0.00051304
24,10430.8,0.97531,0.46366,0.00993,0.99023,0.98991,0.9933,0.73053,1.02498,0.28878,0.01301,0.000495041,0.000495041,0.000495041
25,10869.8,0.96968,0.46759,0.01,0.96891,0.9716,0.99112,0.74157,1.02604,0.32301,0.01308,0.000477043,0.000477043,0.000477043
26,11308.1,0.95816,0.46216,0.00991,0.97962,0.95205,0.99084,0.73467,1.03577,0.31972,0.01333,0.000459045,0.000459045,0.000459045
27,11744,0.93486,0.44162,0.00953,0.97073,0.9786,0.99212,0.72472,1.04028,0.30976,0.01318,0.000441047,0.000441047,0.000441047
28,12179.4,0.96698,0.45623,0.00996,0.98757,0.97154,0.99242,0.73972,1.01973,0.30223,0.01338,0.000423049,0.000423049,0.000423049
29,12609.4,0.92265,0.42958,0.0093,0.9811,0.97102,0.98897,0.74386,1.06026,0.29876,0.01369,0.00040505,0.00040505,0.00040505
30,13038.7,0.91586,0.43102,0.0094,0.98985,0.98172,0.99286,0.74588,1.03213,0.28501,0.01316,0.000387052,0.000387052,0.000387052
31,13464.5,0.91209,0.42034,0.00927,0.9759,0.98629,0.99316,0.73389,1.03296,0.29842,0.01314,0.000369054,0.000369054,0.000369054
32,13892.9,0.88925,0.40909,0.00898,0.98614,0.98929,0.99111,0.73611,1.04165,0.28308,0.01314,0.000351056,0.000351056,0.000351056
33,14320.9,0.88575,0.41005,0.00882,0.98141,0.98006,0.99035,0.7446,1.02519,0.30135,0.01293,0.000333058,0.000333058,0.000333058
34,14750.7,0.87263,0.40165,0.00875,0.98852,0.9863,0.99071,0.73245,1.04965,0.29024,0.01312,0.000315059,0.000315059,0.000315059
35,15171.9,0.87813,0.3905,0.00878,0.98062,0.97955,0.99214,0.7364,1.05084,0.28817,0.01349,0.000297061,0.000297061,0.000297061
36,15598.8,0.87046,0.40486,0.00867,0.9819,0.97471,0.99019,0.74039,1.03092,0.29559,0.01317,0.000279063,0.000279063,0.000279063
37,16023.6,0.84432,0.38284,0.00851,0.97339,0.97543,0.98964,0.7331,1.04115,0.30096,0.01314,0.000261065,0.000261065,0.000261065
38,16444.5,0.84785,0.38265,0.00864,0.95627,0.98271,0.99121,0.7336,1.06965,0.29527,0.0137,0.000243067,0.000243067,0.000243067
39,16869.4,0.8345,0.38443,0.00845,0.99031,0.98568,0.99318,0.72504,1.06971,0.29682,0.01322,0.000225068,0.000225068,0.000225068
40,17296.7,0.81871,0.37041,0.0083,0.97491,0.97693,0.99254,0.73809,1.02135,0.29437,0.01296,0.00020707,0.00020707,0.00020707
41,17713.4,0.75243,0.24279,0.00959,0.99116,0.97071,0.99326,0.73785,1.0345,0.29091,0.01299,0.000189072,0.000189072,0.000189072
42,18129.4,0.74598,0.23305,0.0096,0.97783,0.98718,0.9928,0.73339,1.04759,0.29764,0.01318,0.000171074,0.000171074,0.000171074
43,18548.3,0.72071,0.22901,0.00915,0.99269,0.98709,0.99353,0.73852,1.02991,0.28572,0.01304,0.000153076,0.000153076,0.000153076
44,18962.9,0.71238,0.22335,0.00889,0.99197,0.97271,0.99345,0.74497,1.01973,0.28019,0.01286,0.000135077,0.000135077,0.000135077
45,19381.7,0.70154,0.21897,0.00885,0.97747,0.98642,0.99138,0.73618,1.03161,0.2798,0.01298,0.000117079,0.000117079,0.000117079
46,19798.3,0.68511,0.21944,0.00862,0.99656,0.97531,0.99111,0.73934,1.02769,0.28087,0.0129,9.9081e-05,9.9081e-05,9.9081e-05
47,20218.5,0.69146,0.21799,0.00858,0.99521,0.97279,0.99112,0.73381,1.03723,0.28395,0.01302,8.10828e-05,8.10828e-05,8.10828e-05
48,20635.9,0.67585,0.21775,0.00845,0.98267,0.98404,0.99139,0.74407,1.02152,0.28512,0.01287,6.30846e-05,6.30846e-05,6.30846e-05
49,21048.1,0.66708,0.20788,0.00833,0.99326,0.97574,0.99142,0.74467,1.02537,0.28169,0.01293,4.50864e-05,4.50864e-05,4.50864e-05
50,21462.2,0.66537,0.20927,0.00839,0.98208,0.97943,0.99097,0.73584,1.03043,0.29172,0.01296,2.70882e-05,2.70882e-05,2.70882e-05
