epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.899,1.18384,4.91966,0.01336,0.67532,0.43222,0.45305,0.29946,0.93685,5.96509,0.01251,0.000300168,0.000300168,0.000300168
2,865.947,1.16734,3.10306,0.01258,0.722,0.75002,0.83901,0.58995,1.0463,3.97505,0.01372,0.000591225,0.000591225,0.000591225
3,1296.58,1.20797,2.23564,0.01318,0.80149,0.75976,0.88461,0.60066,1.12025,2.58628,0.01439,0.000870284,0.000870284,0.000870284
4,1735.13,1.21688,1.65682,0.01299,0.86788,0.84778,0.94087,0.65115,1.11688,1.76325,0.01442,0.000855005,0.000855005,0.000855005
5,2172.88,1.20127,1.35044,0.01294,0.91331,0.89145,0.96183,0.64322,1.24505,1.34532,0.01673,0.000837007,0.000837007,0.000837007
6,2605.13,1.1733,1.11776,0.01244,0.93918,0.89899,0.9736,0.69603,1.10308,0.9649,0.01468,0.000819009,0.000819009,0.000819009
7,3038.87,1.1623,0.95766,0.01216,0.92271,0.92703,0.97236,0.69783,1.06608,0.78182,0.01385,0.000801011,0.000801011,0.000801011
8,3472.89,1.13036,0.84103,0.01208,0.93092,0.89389,0.96058,0.65697,1.18711,0.71174,0.01498,0.000783013,0.000783013,0.000783013
9,3910.64,1.12367,0.75916,0.01176,0.93558,0.92525,0.98281,0.69386,1.08579,0.61968,0.01398,0.000765014,0.000765014,0.000765014
10,4341.02,1.08986,0.71682,0.0114,0.93996,0.96447,0.98687,0.71495,1.07109,0.52655,0.01396,0.000747016,0.000747016,0.000747016
11,4767.72,1.0952,0.68034,0.01147,0.95816,0.95215,0.98368,0.69132,1.10827,0.50603,0.01428,0.000729018,0.000729018,0.000729018
12,5201.18,1.08564,0.67697,0.01152,0.91996,0.95674,0.98265,0.69145,1.16922,0.51028,0.01546,0.00071102,0.00071102,0.00071102
13,5637.12,1.09141,0.62993,0.01134,0.95728,0.97922,0.98865,0.72744,1.05078,0.41444,0.01384,0.000693022,0.000693022,0.000693022
14,6071.52,1.07063,0.59848,0.01124,0.94931,0.98108,0.98867,0.71856,1.07883,0.39791,0.0143,0.000675023,0.000675023,0.000675023
15,6509.22,1.05129,0.57573,0.01098,0.94117,0.97168,0.98826,0.71674,1.05998,0.39197,0.01345,0.000657025,0.000657025,0.000657025
16,6944.47,1.07281,0.56775,0.01129,0.97027,0.97633,0.99101,0.71251,1.08522,0.36402,0.01376,0.000639027,0.000639027,0.000639027
