epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.003,1.18577,4.68297,0.01395,0.57086,0.82206,0.77246,0.51903,1.09008,7.61597,0.01788,0.000365761,0.000365761,0.000365761
2,684.341,1.15415,3.06991,0.01312,0.81104,0.87238,0.92475,0.64176,1.12044,4.82753,0.01688,0.000726985,0.000726985,0.000726985
3,1001.54,1.20528,2.3043,0.01394,0.87079,0.86668,0.96717,0.65709,1.25576,3.22009,0.02194,0.00107904,0.00107904,0.00107904
4,1319.27,1.17842,1.72947,0.01365,0.8621,0.91722,0.98064,0.6438,1.22092,2.35616,0.01894,0.00106975,0.00106975,0.00106975
5,1631.48,1.15183,1.32733,0.01316,0.94897,0.92049,0.97727,0.69973,1.05259,1.56203,0.0164,0.00105601,0.00105601,0.00105601
6,1949.12,1.16475,1.13941,0.01391,0.88984,0.94707,0.97475,0.66909,1.14618,1.20377,0.01765,0.00104226,0.00104226,0.00104226
7,2266.74,1.16619,0.94656,0.01309,0.94106,0.93961,0.98523,0.70441,1.06352,0.92685,0.01672,0.00102851,0.00102851,0.00102851
8,2579.92,1.11174,0.84697,0.01267,0.94024,0.98125,0.98791,0.71267,1.06932,0.75491,0.01752,0.00101476,0.00101476,0.00101476
9,2899.03,1.13527,0.79584,0.01296,0.93934,0.92739,0.98216,0.71619,1.06452,0.70837,0.01593,0.00100101,0.00100101,0.00100101
10,3220.61,1.09525,0.72635,0.0122,0.95893,0.95569,0.99083,0.71946,1.00176,0.60965,0.01483,0.000987262,0.000987262,0.000987262
11,3555.37,1.10127,0.7113,0.01237,0.94595,0.96352,0.99041,0.70665,1.15668,0.60865,0.02144,0.000973514,0.000973514,0.000973514
12,3874.72,1.11663,0.68276,0.01277,0.96623,0.97981,0.99102,0.72154,1.01053,0.50619,0.01524,0.000959765,0.000959765,0.000959765
13,4190.02,1.07866,0.66293,0.01216,0.98371,0.93663,0.98635,0.72731,1.06452,0.46922,0.01672,0.000946016,0.000946016,0.000946016
14,4505.22,1.06315,0.62563,0.01187,0.97766,0.95186,0.99208,0.72458,1.04039,0.45745,0.01713,0.000932268,0.000932268,0.000932268
15,4817.04,1.06675,0.63374,0.01233,0.96616,0.93934,0.98524,0.70097,1.154,0.49375,0.01764,0.000918519,0.000918519,0.000918519
16,5130.7,1.03098,0.60236,0.01147,0.93855,0.96405,0.98849,0.693,1.05825,0.48914,0.01498,0.000904771,0.000904771,0.000904771
17,5447.15,1.04065,0.57894,0.01156,0.97108,0.96457,0.99296,0.73257,1.09091,0.40777,0.01695,0.000891022,0.000891022,0.000891022
18,5763.16,1.0377,0.56298,0.01136,0.95723,0.95485,0.99174,0.73001,1.06513,0.40704,0.01673,0.000877273,0.000877273,0.000877273
19,6079.86,1.02374,0.53168,0.01124,0.92751,0.95908,0.98728,0.72564,1.02729,0.42068,0.01552,0.000863525,0.000863525,0.000863525
20,6399.35,1.01138,0.53488,0.011,0.9962,0.96768,0.99372,0.69646,1.10654,0.3621,0.01648,0.000849776,0.000849776,0.000849776
21,6717.81,1.02211,0.51998,0.01127,0.97232,0.93019,0.98946,0.74626,1.00032,0.37148,0.01582,0.000836027,0.000836027,0.000836027
22,7037.13,1.02207,0.50161,0.01138,0.96502,0.96736,0.99133,0.74034,1.06041,0.36612,0.01826,0.000822279,0.000822279,0.000822279
23,7358.17,0.97986,0.48375,0.01072,0.98311,0.96509,0.99342,0.74707,1.0485,0.33723,0.0158,0.00080853,0.00080853,0.00080853
24,7678.93,0.977,0.47671,0.01092,0.98847,0.95596,0.99271,0.73039,1.14167,0.35319,0.01736,0.000794782,0.000794782,0.000794782
25,7993.31,1.00299,0.49144,0.01104,0.97634,0.9547,0.99234,0.72044,1.20096,0.39128,0.01944,0.000781033,0.000781033,0.000781033
26,8308.61,0.97217,0.46997,0.01062,0.96719,0.96762,0.99205,0.72457,1.02966,0.33007,0.01566,0.000767284,0.000767284,0.000767284
27,8626.99,0.99429,0.46455,0.01097,0.98703,0.95952,0.99363,0.74957,1.0129,0.32803,0.01545,0.000753536,0.000753536,0.000753536
28,8942.16,0.9625,0.46863,0.01061,0.97229,0.96343,0.99309,0.73557,1.04652,0.35302,0.01633,0.000739787,0.000739787,0.000739787
29,9262.79,0.95089,0.45476,0.01062,0.97525,0.96307,0.99288,0.73778,1.07688,0.34109,0.01809,0.000726038,0.000726038,0.000726038
30,9579.88,0.9595,0.44987,0.01047,0.9744,0.98888,0.99442,0.75147,1.0133,0.2932,0.01539,0.00071229,0.00071229,0.00071229
31,9894.75,0.97146,0.46291,0.01047,0.9804,0.97952,0.99461,0.73426,1.04566,0.30922,0.01603,0.000698541,0.000698541,0.000698541
32,10215.1,0.93387,0.44163,0.01021,0.98265,0.98123,0.99391,0.75181,1.03525,0.31143,0.01599,0.000684793,0.000684793,0.000684793
33,10537.8,0.92003,0.41694,0.01016,0.97902,0.98565,0.99459,0.75209,0.98664,0.28444,0.01463,0.000671044,0.000671044,0.000671044
34,10856.1,0.90871,0.43528,0.00997,0.98806,0.96681,0.9934,0.74753,0.99464,0.29798,0.01517,0.000657295,0.000657295,0.000657295
35,11178.1,0.90905,0.42688,0.0098,0.96047,0.99916,0.99378,0.75751,0.94891,0.29149,0.01485,0.000643547,0.000643547,0.000643547
36,11493.7,0.90238,0.41041,0.00987,0.98371,0.98501,0.99435,0.75,1.07214,0.31213,0.01634,0.000629798,0.000629798,0.000629798
37,11808.7,0.91054,0.40836,0.00978,0.99253,0.98383,0.99433,0.74062,1.04831,0.29151,0.01571,0.000616049,0.000616049,0.000616049
38,12123.3,0.88957,0.4111,0.00956,0.98914,0.99187,0.99483,0.71361,1.20083,0.32018,0.01835,0.000602301,0.000602301,0.000602301
39,12440.7,0.89345,0.40936,0.00971,0.98172,0.99875,0.99482,0.74864,1.06067,0.30881,0.01598,0.000588552,0.000588552,0.000588552
