epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,12759.1,0.86431,0.38409,0.00922,0.96208,0.98793,0.99368,0.74382,1.01271,0.27971,0.01515,0.000574804,0.000574804,0.000574804
41,13077.1,0.87115,0.38513,0.0094,0.98261,0.98826,0.99474,0.7363,1.07054,0.29202,0.01718,0.000561055,0.000561055,0.000561055
42,13396.9,0.85889,0.3754,0.00926,0.969,0.99439,0.99262,0.74161,1.04746,0.305,0.0166,0.000547306,0.000547306,0.000547306
43,13717.4,0.86706,0.38686,0.00933,0.99451,0.98547,0.99487,0.75085,1.05421,0.28403,0.01579,0.000533558,0.000533558,0.000533558
44,14049.7,0.82055,0.38513,0.0087,0.98408,0.98163,0.99478,0.73886,0.98282,0.28938,0.01471,0.000519809,0.000519809,0.000519809
45,14370.8,0.84333,0.38127,0.00901,0.9947,0.98085,0.99436,0.75194,1.00026,0.27791,0.01501,0.00050606,0.00050606,0.00050606
46,14689.3,0.82737,0.36183,0.00899,0.98617,0.99708,0.99482,0.74349,1.02715,0.28003,0.01546,0.000492312,0.000492312,0.000492312
47,15006.7,0.84446,0.37813,0.00947,0.99675,0.99362,0.99496,0.75374,0.97331,0.26593,0.01427,0.000478563,0.000478563,0.000478563
48,15320.5,0.81446,0.36239,0.00883,0.98199,0.99932,0.995,0.75474,0.97243,0.25644,0.01427,0.000464815,0.000464815,0.000464815
49,15634.1,0.82281,0.36969,0.00882,0.96929,0.98654,0.99162,0.74723,1.00614,0.28023,0.01489,0.000451066,0.000451066,0.000451066
50,15953.3,0.80713,0.34883,0.00867,0.99542,0.96297,0.99388,0.75017,0.97637,0.2773,0.01522,0.000437317,0.000437317,0.000437317
51,16271,0.79232,0.34974,0.00847,0.98356,0.98243,0.9933,0.76579,0.9449,0.26631,0.0141,0.000423569,0.000423569,0.000423569
52,16587.6,0.7869,0.34784,0.00854,0.9834,0.9996,0.99496,0.74752,0.96751,0.26348,0.01466,0.00040982,0.00040982,0.00040982
53,16902.2,0.79774,0.34789,0.00848,0.99389,0.99616,0.99486,0.75018,0.99652,0.27096,0.01509,0.000396071,0.000396071,0.000396071
54,17216.5,0.77371,0.34983,0.0083,0.99462,0.98881,0.99462,0.74611,0.96465,0.25843,0.01428,0.000382323,0.000382323,0.000382323
55,17533,0.76665,0.33111,0.00801,0.99196,0.99598,0.995,0.74752,0.96629,0.25536,0.01429,0.000368574,0.000368574,0.000368574
56,17852.1,0.75603,0.32583,0.008,0.99155,0.98907,0.995,0.74994,0.99343,0.26253,0.01464,0.000354826,0.000354826,0.000354826
57,18173.6,0.75046,0.32771,0.00826,0.98635,0.99336,0.9947,0.75429,0.9896,0.27495,0.01479,0.000341077,0.000341077,0.000341077
58,18493.4,0.74317,0.31722,0.00799,0.99234,0.9719,0.99375,0.7473,0.98203,0.27443,0.01459,0.000327328,0.000327328,0.000327328
59,18809.9,0.75613,0.33278,0.00798,0.99063,0.99667,0.99492,0.73615,0.99149,0.27311,0.0145,0.00031358,0.00031358,0.00031358
60,19126.9,0.7392,0.31808,0.00779,0.99397,0.97822,0.99441,0.7521,1.0163,0.27599,0.01516,0.000299831,0.000299831,0.000299831
61,19447,0.73777,0.31931,0.00793,0.99351,0.99066,0.99472,0.74041,0.98995,0.26285,0.01453,0.000286083,0.000286083,0.000286083
62,19767.6,0.75079,0.33238,0.00792,0.98687,0.99094,0.99489,0.74912,0.97782,0.26085,0.01446,0.000272334,0.000272334,0.000272334
63,20087.6,0.7418,0.32899,0.00782,0.98211,0.98833,0.99436,0.74888,1.00452,0.27038,0.01493,0.000258585,0.000258585,0.000258585
64,20404.9,0.74115,0.31365,0.00794,0.98523,0.99082,0.99449,0.74039,0.97242,0.28831,0.01433,0.000244837,0.000244837,0.000244837
65,20721.7,0.70258,0.31376,0.00747,0.9918,0.99496,0.99486,0.75225,0.97527,0.2701,0.0146,0.000231088,0.000231088,0.000231088
66,21040.7,0.71055,0.31491,0.00759,0.98004,0.98546,0.99332,0.74782,0.9725,0.27157,0.01425,0.000217339,0.000217339,0.000217339
67,21358.3,0.67994,0.29753,0.00714,0.97959,0.98551,0.99339,0.74667,0.96422,0.27059,0.01431,0.000203591,0.000203591,0.000203591
68,21674.2,0.69287,0.30282,0.00739,0.98839,0.99164,0.99429,0.74788,0.9824,0.26591,0.01438,0.000189842,0.000189842,0.000189842
69,21995.5,0.69402,0.30442,0.00724,0.9891,0.97949,0.99421,0.75537,0.97742,0.26736,0.01433,0.000176094,0.000176094,0.000176094
70,22313.4,0.69274,0.29052,0.00752,0.99226,0.98365,0.99479,0.75274,0.96811,0.26486,0.0141,0.000162345,0.000162345,0.000162345
71,22620.2,0.62307,0.21022,0.00859,0.99,0.99635,0.99495,0.7467,0.96579,0.27284,0.01441,0.000148596,0.000148596,0.000148596
72,22927.5,0.59916,0.19601,0.00827,0.98873,0.98698,0.99451,0.7496,0.9578,0.26564,0.014,0.000134848,0.000134848,0.000134848
73,23235.1,0.5914,0.1926,0.00808,0.98236,0.99451,0.99476,0.75372,0.96252,0.26146,0.01404,0.000121099,0.000121099,0.000121099
74,23546,0.57372,0.18923,0.00777,0.99329,0.98984,0.99479,0.75985,0.95737,0.26081,0.0141,0.00010735,0.00010735,0.00010735
75,23858.6,0.56962,0.18613,0.0076,0.9952,0.98904,0.99495,0.75047,0.97446,0.26143,0.01409,9.36017e-05,9.36017e-05,9.36017e-05
76,24168.3,0.55762,0.18193,0.00741,0.9844,0.99451,0.9948,0.74867,0.97439,0.26926,0.01424,7.98531e-05,7.98531e-05,7.98531e-05
77,24476.4,0.55589,0.18177,0.00766,0.99384,0.98893,0.99485,0.75345,0.96639,0.25978,0.01415,6.61045e-05,6.61045e-05,6.61045e-05
78,24790,0.54959,0.18207,0.00736,0.99264,0.98209,0.99468,0.74793,0.97449,0.26913,0.01423,5.23559e-05,5.23559e-05,5.23559e-05
79,25101.4,0.55175,0.18373,0.00759,0.99206,0.99632,0.99493,0.75375,0.97114,0.25721,0.01422,3.86073e-05,3.86073e-05,3.86073e-05
80,25416.9,0.54529,0.1838,0.0073,0.99515,0.99331,0.99493,0.75017,0.97465,0.26199,0.01425,2.48586e-05,2.48586e-05,2.48586e-05
