epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.516,1.32387,7.58195,0.01616,0.00517,0.97222,0.30831,0.2197,0.7643,9.98763,0.01101,0.00032867,0.00032867,0.00032867
2,210.18,1.04956,6.37291,0.01225,0.00372,1,0.46904,0.31968,0.80055,9.03895,0.0126,0.000658332,0.000658332,0.000658332
3,307.05,1.11904,5.61077,0.01327,0.86936,0.23913,0.82366,0.5727,0.85262,8.33362,0.01221,0.000974412,0.000974412,0.000974412
4,401.782,1.09212,4.54728,0.01265,0.75361,0.73583,0.79775,0.51511,1.05652,7.39628,0.01654,0.00127691,0.00127691,0.00127691
5,500.676,1.11296,3.92441,0.0124,0.68048,0.80459,0.89185,0.64722,0.9422,5.58764,0.01403,0.00131582,0.00131582,0.00131582
6,599.159,1.19109,3.488,0.01373,0.72106,0.77061,0.86491,0.44315,1.6285,5.33164,0.02409,0.00128753,0.00128753,0.00128753
7,698.362,1.10204,3.00424,0.01281,0.76303,0.82753,0.91326,0.63703,1.02314,3.85481,0.01434,0.00125923,0.00125923,0.00125923
8,796.757,1.10138,2.85472,0.0129,0.92536,0.83754,0.96069,0.6666,1.13279,3.28767,0.01755,0.00123094,0.00123094,0.00123094
9,895.981,1.11247,2.37498,0.01252,0.83629,0.96035,0.96756,0.69642,1.06982,2.85027,0.01509,0.00120265,0.00120265,0.00120265
10,994.088,1.07684,2.14057,0.0123,0.94818,0.89205,0.98066,0.59502,1.34477,2.92232,0.01978,0.00117435,0.00117435,0.00117435
11,1093.39,1.14061,1.97664,0.01307,0.91015,0.86342,0.96411,0.6365,1.1379,2.50135,0.01884,0.00114606,0.00114606,0.00114606
12,1192.41,1.04692,1.81023,0.01202,0.80567,0.93843,0.95074,0.59843,1.21557,2.25978,0.01848,0.00111776,0.00111776,0.00111776
13,1288.29,1.1447,1.64876,0.01311,0.86439,0.94122,0.97614,0.64298,1.20776,1.89583,0.01843,0.00108947,0.00108947,0.00108947
14,1385.78,1.1276,1.50126,0.01281,0.91913,0.97307,0.98415,0.6955,1.07006,1.51933,0.01704,0.00106118,0.00106118,0.00106118
15,1480.86,1.1142,1.35156,0.0137,0.89192,0.90683,0.97906,0.67112,1.15831,1.49695,0.01807,0.00103288,0.00103288,0.00103288
16,1578.02,1.05224,1.28039,0.01274,0.93248,0.91721,0.98106,0.68148,1.12745,1.2874,0.01652,0.00100459,0.00100459,0.00100459
17,1675.99,1.05169,1.18287,0.01272,0.90026,0.94168,0.97976,0.64504,1.26798,1.22229,0.02027,0.000976293,0.000976293,0.000976293
18,1771.38,1.03372,1.0894,0.01196,0.9337,0.93907,0.98662,0.68409,1.10938,1.07054,0.0153,0.000947999,0.000947999,0.000947999
19,1869.02,1.0628,1.07189,0.01221,0.94636,0.89846,0.98387,0.71748,1.01051,0.99659,0.01508,0.000919704,0.000919704,0.000919704
20,1964.9,1.03721,1.04531,0.01234,0.91101,0.96964,0.98755,0.72509,1.02327,0.90932,0.01505,0.00089141,0.00089141,0.00089141
